65400,27/11/2022 20:01,12,Plain,Small,€2.50,€30.00
62385,27/11/2022 20:57,12,Plain,Small,€2.50,€30.00
63425,27/11/2022 21:03,12,Sesame,Extra Large,€5.00,€60.00
83336,27/11/2022 21:10,11,Plain,Small,€2.50,€27.50
25349,27/11/2022 21:18,12,Plain,Small,€2.50,€30.00
54083,27/11/2022 21:22,12,Plain,Medium,€3.00,€36.00
36190,27/11/2022 21:23,34,Raisin,Extra Large,€4.25,€144.50
89434,27/11/2022 21:35,12,Classic,Medium,€4.00,€48.00
57250,27/11/2022 21:43,12,Blueberry,Regular,€3.25,€39.00
43815,28/11/2022 08:01,12,Plain,Small,€2.50,€30.00
49768,28/11/2022 08:22,12,Plain,Small,€2.50,€30.00
60836,28/11/2022 08:32,12,Classic,Small,€3.50,€42.00
23827,28/11/2022 08:37,12,Sesame,Medium,€3.50,€42.00
31783,28/11/2022 08:38,12,Plain,Medium,€3.00,€36.00
84077,28/11/2022 08:39,12,Plain,Medium,€3.00,€36.00
27268,28/11/2022 08:48,12,Plain,Small,€2.50,€30.00
44817,28/11/2022 09:00,34,Sesame,Small,€3.00,€102.00
71511,28/11/2022 09:03,12,Plain,Small,€2.50,€30.00
26679,28/11/2022 09:05,12,Sesame,Medium,€3.50,€42.00
25640,28/11/2022 09:06,12,Plain,Small,€2.50,€30.00
33907,28/11/2022 09:08,12,Plain,Small,€2.50,€30.00
38911,28/11/2022 09:10,12,Sesame,Small,€3.00,€36.00
49698,28/11/2022 09:17,12,Sesame,Small,€3.00,€36.00
74335,28/11/2022 09:21,12,Plain,Regular,€3.50,€42.00
63211,28/11/2022 09:25,12,Sesame,Small,€3.00,€36.00
92967,28/11/2022 09:27,12,Plain,Small,€2.50,€30.00
46055,28/11/2022 09:30,12,Sesame,Small,€3.00,€36.00
93689,28/11/2022 09:39,12,Plain,Small,€2.50,€30.00
41667,28/11/2022 09:41,12,Classic,Small,€3.50,€42.00
23442,28/11/2022 09:45,12,Classic,Medium,€4.00,€48.00
42297,28/11/2022 09:48,12,Cinnamon,Medium,€3.75,€45.00
82079,28/11/2022 10:02,12,Sesame,Small,€3.00,€36.00
32974,28/11/2022 10:10,12,Everything,Large,€5.25,€63.00
77993,28/11/2022 10:56,12,Plain,Small,€2.50,€30.00
96582,28/11/2022 11:21,12,Sesame,Medium,€3.50,€42.00
26772,28/11/2022 11:28,12,Sesame,Extra Large,€5.00,€60.00
51029,28/11/2022 11:30,12,Sesame,Small,€3.00,€36.00
77082,28/11/2022 11:32,12,Sesame,Medium,€3.50,€42.00
49330,28/11/2022 11:58,12,Plain,Small,€2.50,€30.00
61738,28/11/2022 12:25,12,Sesame,Medium,€3.50,€42.00
62038,28/11/2022 12:25,12,Sesame,Medium,€3.50,€42.00
28334,28/11/2022 12:50,12,Classic,Small,€3.50,€42.00
77299,28/11/2022 12:52,12,Sesame,Small,€3.00,€36.00
26295,28/11/2022 12:57,12,Sesame,Medium,€3.50,€42.00
14342,28/11/2022 13:03,12,Plain,Large,€4.00,€48.00
13465,28/11/2022 13:06,12,Sesame,Medium,€3.50,€42.00
43145,28/11/2022 13:10,12,Plain,Small,€2.50,€30.00
47323,28/11/2022 13:15,12,Classic,Small,€3.50,€42.00
89368,28/11/2022 13:22,12,Classic,Small,€3.50,€42.00
73149,28/11/2022 13:24,12,Classic,Small,€3.50,€42.00
66489,28/11/2022 13:54,12,Sesame,Small,€3.00,€36.00
71067,28/11/2022 14:59,12,Plain,Small,€2.50,€30.00
